eia_id,state,area_m2,plant_year,longitude,latitude,open water,"developed, open space","developed, low intensity","developed, medium intensity","developed, high intensity",barren land,deciduous forest,evergreen forest,mixed forest,shrub/scrub,herbaceous,hay/pasture,cultivated crops,woody wetlands,emergent herbaceous wetlands,,,,,,,,,,,,,,,,,
59522,CA,558586.06,2017,-120.3390579,36.5523109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
59737,CA,239655.4479,2017,-120.3456726,36.5483704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
60947,CA,325069.5679,2017,-116.1304703,32.6196747,0.000,0.061,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.587,0.324,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61006,CA,114934.5756,2017,-121.5859299,38.6951866,0.000,0.056,0.040,0.056,0.278,0.000,0.000,0.000,0.000,0.000,0.563,0.000,0.008,0.000,0.000,,,,,,,,,,,,,,,,,
60033,CA,3112815.924,2017,-120.3315582,35.8718338,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.979,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60043,CA,951939.8526,2017,-119.595253,34.9015808,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.991,0.000,0.000,,,,,,,,,,,,,,,,,
60481,CA,429511.0321,2017,-118.2979813,34.6679955,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.831,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
57340,CA,3280787.543,2018,-120.889534,36.6365128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60678,CA,480955.8339,2019,-120.1468735,36.5245628,0.000,0.019,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.975,0.000,0.000,,,,,,,,,,,,,,,,,
60825,CA,1565014.633,2018,-115.9817047,33.5487862,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.975,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58389,CA,4858018.518,2014,-118.362854,34.8429146,0.013,0.001,0.003,0.002,0.000,0.034,0.000,0.000,0.000,0.624,0.078,0.081,0.164,0.000,0.000,,,,,,,,,,,,,,,,,
58388,CA,6231193.806,2014,-118.4050674,34.8202629,0.000,0.004,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.440,0.121,0.038,0.392,0.000,0.000,,,,,,,,,,,,,,,,,
528,CA,972004.9767,2016,-118.441185,34.822422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.780,0.000,0.143,0.077,0.000,0.000,,,,,,,,,,,,,,,,,
60386,CA,857609.0411,2016,-118.5020599,34.8256989,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59977,CA,3076759.743,2016,-118.4795227,34.8297272,0.000,0.028,0.002,0.000,0.000,0.058,0.000,0.000,0.000,0.911,0.001,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
62655,CA,175892.8499,2019,-120.2616348,40.3725281,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.887,0.108,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60311,CA,272205.228,2017,-118.2742844,34.7147484,0.000,0.000,0.000,0.000,0.000,0.093,0.000,0.000,0.000,0.010,0.000,0.897,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
